Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
BadAss 4530-270Kv ,6.00,270.00,21.00,14.00,22.20,4845.00,102.54,2276.40,316.29,26.54,64.20,1.17,4.04
Cobra C-5330/18 ,6.00,250.00,21.00,12.00,22.20,4791.00,100.58,2232.96,322.44,26.31,54.40,1.18,4.56
Cobra C-4130/20 ,6.00,300.00,21.00,14.00,22.20,4733.00,102.54,2276.60,316.26,25.96,62.70,1.14,3.45
Cobra C-5330/18 ,6.00,250.00,21.00,14.00,22.20,4831.00,96.38,2139.46,336.53,25.50,64.00,1.19,4.56
Cobra C-4130/16 ,6.00,390.00,18.00,8.00,22.20,6699.00,95.30,2115.40,340.36,24.36,50.80,1.15,3.45
BadAss 4530-270Kv ,6.00,270.00,20.00,13.00,22.20,4977.00,93.32,2071.60,347.56,23.93,61.30,1.16,4.04
Cobra C-5320/22 ,6.00,300.00,19.00,12.00,22.20,5577.00,102.70,2279.80,315.82,23.90,63.40,1.05,3.86
BadAss 4520-370Kv ,6.00,370.00,18.00,8.00,22.20,6619.00,93.32,2071.80,347.52,23.78,50.10,1.15,3.46
Tempest 4130-310Kv ,6.00,310.00,19.00,10.00,22.20,5784.00,97.14,2156.40,333.89,23.68,54.80,1.10,3.34
Cobra C-4130/20 ,6.00,300.00,20.00,13.00,22.20,4836.00,92.50,2053.60,350.60,23.34,59.50,1.14,3.45
BadAss 4530-270Kv ,6.00,270.00,20.00,11.00,22.20,5038.00,86.80,1927.20,373.60,23.25,52.50,1.21,4.04
Cobra C-4130/20 ,6.00,300.00,20.00,11.00,22.20,4973.00,90.22,2003.00,359.46,23.07,51.80,1.15,3.45
Cobra C-5320/22 ,6.00,300.00,19.00,10.00,22.20,5659.00,86.96,1930.40,372.98,22.93,53.60,1.19,3.86
Tempest 4130-400Kv ,6.00,400.00,15.00,7.00,22.20,7794.00,103.62,2300.40,312.99,22.61,51.70,0.98,3.37
Tempest 4130-400Kv ,6.00,400.00,16.00,7.00,22.20,7847.00,98.84,2194.20,328.14,22.55,52.00,1.03,3.37
Cobra C-5330/18 ,6.00,250.00,20.00,13.00,22.20,4919.00,85.20,1891.62,380.63,22.36,60.60,1.18,4.56
BadAss 4530-360Kv ,6.00,360.00,16.00,8.00,22.20,7020.00,91.72,2036.20,353.60,22.22,53.20,1.09,4.01
Cobra C-4130/14 ,6.00,450.00,14.00,9.00,22.20,7974.00,102.48,2275.00,316.48,21.89,68.00,0.96,3.46
Cobra C-4130/16 ,5.00,390.00,19.00,10.00,18.50,5466.00,94.56,1749.20,411.62,21.63,51.80,1.24,3.45
Cobra C-4130/20 ,6.00,300.00,19.00,12.00,22.20,5126.00,80.84,1794.60,401.20,21.45,58.30,1.20,3.45
Cobra C-4130/16 ,6.00,390.00,17.00,8.00,22.20,6689.00,96.18,2135.20,337.20,21.38,50.70,1.00,3.45
Cobra C-5330/18 ,6.00,250.00,20.00,11.00,22.20,4891.00,75.32,1672.02,430.62,21.05,50.90,1.26,4.56
Tempest 4130-400Kv ,6.00,400.00,14.00,9.00,22.20,7860.00,98.68,2190.60,328.68,21.00,67.00,0.96,3.37
BadAss 3530-470 ,6.00,470.00,14.00,7.00,22.20,8551.00,102.06,2265.80,317.77,20.98,56.70,0.93,3.08
BadAss 3530-650Kv ,6.00,570.00,14.00,6.00,22.20,10369.00,103.30,2293.40,313.94,20.94,58.90,0.91,3.11
BadAss 4530-270Kv ,6.00,270.00,19.00,12.00,22.20,5119.00,77.26,1715.20,419.78,20.87,58.20,1.22,4.04
BadAss 4520-370Kv ,6.00,370.00,17.00,8.00,22.20,6636.00,88.84,1972.40,365.04,20.82,50.30,1.06,3.46
BadAss 4520-370Kv ,5.00,370.00,19.00,10.00,18.50,5410.00,90.62,1676.40,429.49,20.81,51.20,1.24,3.46
BadAss 4520-470Kv ,6.00,470.00,14.00,7.00,22.20,8555.00,96.82,2149.20,335.01,20.75,56.70,0.97,3.43
Cobra C-4130/16 ,6.00,390.00,16.00,8.00,22.20,6806.00,82.46,1830.40,393.36,20.61,51.60,1.13,3.45
BadAss 3530-470 ,6.00,470.00,15.00,7.00,22.20,8736.00,90.82,2016.00,357.14,20.43,57.90,1.01,3.08
Tempest 4130-460Kv ,5.00,460.00,16.00,7.00,18.50,7560.00,103.86,1921.20,374.77,20.40,50.10,1.06,3.38
Tempest 4130-310Kv ,6.00,310.00,18.00,10.00,22.20,5882.00,80.66,1790.60,402.10,20.39,55.70,1.14,3.34
BadAss 4530-360Kv ,5.00,360.00,18.00,10.00,18.50,5819.00,90.60,1676.00,429.59,20.37,55.10,1.22,4.01
BadAss 3530-470 ,6.00,470.00,15.00,8.00,22.20,8540.00,103.70,2302.20,312.74,20.21,64.70,0.88,3.08
Cobra C-4130/20 ,6.00,300.00,19.00,10.00,22.20,5317.00,69.40,1540.60,467.35,20.18,50.40,1.31,3.45
Cobra C-5330/18 ,6.00,250.00,20.00,15.00,22.20,4680.00,100.94,2240.74,321.32,20.16,66.50,0.90,4.56
BadAss 4520-470Kv ,6.00,470.00,15.00,7.00,22.20,8650.00,88.62,1967.20,366.00,20.14,57.30,1.02,3.43
BadAss 4520-470Kv ,6.00,470.00,15.00,8.00,22.20,8544.00,98.06,2176.80,330.76,20.08,64.70,0.92,3.43
BadAss 4520-370Kv ,6.00,370.00,16.00,8.00,22.20,6733.00,80.36,1784.00,403.59,20.05,51.00,1.12,3.46
Cobra C-5320/22 ,6.00,300.00,18.00,10.00,22.20,5774.00,75.88,1684.60,427.40,19.90,54.70,1.18,3.86
Tempest 4130-310Kv ,6.00,310.00,16.00,10.00,22.20,5996.00,82.82,1838.40,391.64,19.83,56.80,1.08,3.34
BadAss 4530-360Kv ,6.00,360.00,16.00,8.00,22.20,6974.00,96.42,2140.40,336.39,19.74,52.80,0.92,4.01
Cobra C-4130/14 ,6.00,450.00,14.00,7.00,22.20,8239.00,86.54,1921.20,374.77,19.72,54.60,1.03,3.46
Cobra C-4130/14 ,5.00,450.00,16.00,8.00,18.50,6674.00,93.26,1725.20,417.34,19.72,50.60,1.14,3.46
Cobra C-4130/12 ,6.00,540.00,12.00,8.00,22.20,9800.00,102.74,2280.60,315.71,19.71,74.20,0.86,3.46
BadAss 4520-540Kv ,6.00,540.00,14.00,6.00,22.20,9950.00,89.52,1987.20,362.32,19.55,56.50,0.98,3.44
Tempest 4120-520Kv ,6.00,520.00,14.00,6.00,22.20,10030.00,92.88,2062.00,349.18,19.52,57.00,0.95,2.94
BadAss 4530-550Kv ,6.00,550.00,13.00,5.50,22.20,11160.00,99.94,2218.40,324.56,19.45,58.10,0.88,4.03
BadAss 3520-560 ,6.00,560.00,14.00,6.00,22.20,10085.00,98.24,2180.80,330.15,19.36,57.30,0.89,2.71
Cobra C-4130/16 ,5.00,390.00,18.00,10.00,18.50,5640.00,84.38,1561.00,461.24,19.34,53.40,1.24,3.45
